Timestep,State,Current RUL,Cummulative Reward
869,1,[0.04748343],109700
870,1,[0.02374321],110600
871,1,[0.03508814],111500
872,2,[0.02157462],112300
873,2,[0.02654314],113100
874,2,[0.02042133],113900
875,2,[0.02862008],114700
876,2,[0.04197751],115500
877,2,[0.01477972],116300
878,2,[0.02270635],117100
879,2,[0.0507401],117900
880,3,[0.02091656],118400
881,8,[0.17229496],115400
882,0,[0.01596095],116400
883,0,[0.02642033],117400
884,1,[0.00634628],118300
885,1,[0.02079327],119200
886,1,[0.03933883],120100
887,1,[0.03361125],121000
888,1,[0.0439074],121900
889,2,[0.02600484],122700
890,3,[0.02600484],123200
891,3,[0.03405092],123700
892,3,[0.12742246],124200
893,7,[0.12742246],123700
894,2,[0.00873223],124500
895,3,[0.13078407],125000
896,7,[0.13078407],124500
897,7,[0.13078407],124000
898,7,[0.13078407],123500
899,2,[0.02582954],124300
900,3,[0.01734068],124800
901,3,[0.02665267],125300
902,8,[0.09104092],122300
903,8,[0.13779165],119300
904,8,[0.09511845],116300
905,8,[0.19774463],113300
906,8,[0.09094561],110300
907,8,[0.16587848],107300
908,8,[0.15876737],104300
909,0,[0.03942953],105300
910,0,[0.01834352],106300
911,1,[0.03032876],107200
912,1,[0.07383695],108100
913,1,[0.02839335],109000
914,2,[0.03546879],109800
915,3,[0.15147283],110300
916,7,[0.15147283],109800
917,7,[0.15147283],109300
918,2,[0.02080141],110100
919,2,[0.03837147],110900
920,2,[0.03028354],111700
921,2,[0.02421491],112500
922,2,[0.04270756],113300
923,2,[0.0221934],114100
924,2,[0.03601237],114900
925,3,[0.00797756],115400
926,3,[0.10488823],115900
927,7,[0.10488823],115400
928,7,[0.10488823],114900
929,2,[0.02167476],115700
930,2,[0.05762323],116500
931,2,[0.04849623],117300
932,2,[0.02687569],118100
933,3,[0.09445946],118600
934,7,[0.09445946],118100
935,7,[0.09445946],117600
936,2,[0.02191784],118400
937,2,[0.02880946],119200
938,2,[0.03559226],120000
939,2,[0.08270393],120800
940,2,[0.04093799],121600
941,2,[0.04421127],122400
942,3,[0.04346956],122900
943,8,[0.17215697],119900
944,8,[0.1326076],116900
945,8,[0.13041642],113900
946,8,[0.1971434],110900
947,8,[0.15001067],107900
948,0,[0.02482551],108900
949,0,[0.02574576],109900
950,1,[0.04100584],110800
951,2,[0.01392665],111600
952,2,[0.02219535],112400
953,3,[0.05121749],112900
954,3,[0.03235392],113400
955,3,[0.16179855],113900
956,7,[0.16179855],113400
957,7,[0.16179855],112900
958,2,[0.01988529],113700
959,2,[0.02625156],114500
960,2,[0.01387117],115300
961,2,[0.02465246],116100
962,2,[0.01761002],116900
963,3,[0.02841421],117400
964,3,[0.03566853],117900
965,8,[0.15013809],114900
966,8,[0.09415633],111900
967,8,[0.1264985],108900
968,8,[0.17645335],105900
969,8,[0.1275176],102900
970,8,[0.11006021],99900
971,8,[0.1654707],96900
972,8,[0.14498368],93900
973,0,[0.07698441],94900
974,0,[0.02965259],95900
975,1,[0.03440181],96800
976,2,[0.03054434],97600
977,2,[0.03355412],98400
978,2,[0.01305065],99200
979,3,[0.02693728],99700
980,8,[0.14544729],96700
